#Gene_ID	Gene_symbol
gene0	Vom2r4
gene26667	Ktn1
gene26668	LOC103693377
gene26669	Peli2
gene26670	LOC103693379
gene26671	LOC103693378
gene26672	LOC102554413
gene26673	Tmem260
gene26674	LOC102554488
gene26675	LOC102554609
gene26676	Otx2
gene26677	LOC102554745
gene26678	LOC102555553
gene26679	LOC102555736
gene26680	LOC102556467
gene26681	LOC102555834
gene26682	LOC102555893
gene26683	LOC102555961
gene26684	Exoc5
gene26685	Ap5m1
gene26686	Naa30
gene26687	LOC102556129
gene26688	Slc35f4
gene26689	LOC102556222
gene26690	LOC103693380
gene26691	LOC103693381
gene26692	LOC103693382
gene26693	RGD1310110
gene26694	LOC689945
gene26695	Olr1624
gene26696	Olr1625
gene26697	Olr1626
gene26698	Olr1627
gene26699	LOC100366095
gene26700	Olr1629
gene26701	Olr1630
gene26702	Olr1608
gene26703	Olr1609
gene26704	Olr1610
gene26705	Olr1611
gene26706	Olr1612
gene26707	Olr1878
gene26708	Tlr11
gene26709	Olr1614
gene26710	Olr1615
gene26711	Olr1616
gene26712	Olr1617
gene26713	LOC103693383
gene26714	Olr1619
gene26715	Olr1620
gene26716	LOC690055
gene26717	RGD1562558
gene26718	Olr1621
gene26719	LOC103690352
gene26720	Olr1622
gene26721	Olr1623-ps
gene26722	Olr1631
gene26723	Olr1632
gene26724	Olr1633
gene26725	Olr1634-ps
gene26726	LOC103690304
gene26727	Ttc5
gene26728	Ccnb1ip1
gene26729	Rmrp
gene26730	Parp2
gene26731	Tep1
gene26732	Klhl33
gene26733	Osgep
gene26734	Apex1
gene26735	Tmem55b
gene26736	Pnp
gene26737	LOC102551956
gene26738	Rnase10
gene26739	LOC690223
gene26740	LOC102553566
gene26741	Rnase9
gene26742	Rnase11
gene26743	Rnase12
gene26744	Trnal-aag
gene26745	Trnap-agg
gene26746	Trnat-ugu
gene26747	Olr1637
gene26748	Trnal-uag
gene26749	Trnat-ugu
gene26750	Trnay-gua
gene26751	Trnap-ugg
gene26752	Rnase4
gene26753	Ang
gene26754	LOC103693457
gene26755	Rnase1l1
gene26756	Eddm3b
gene26757	LOC103690270
gene26758	Rnase6
gene26759	LOC103690354
gene26760	LOC100362868
gene26761	LOC103693384
gene26762	LOC103693458
gene26763	Ang2
gene26764	Rnase1l2
gene26765	Rnase2
gene26766	LOC100361814
gene26767	Rnase-ps
gene26768	Ear1
gene26769	Slc39a2
gene26770	Ndrg2
gene26771	Tppp2
gene26772	Rnase13
gene26773	LOC100362016
gene26774	Arhgef40
gene26775	Zfp219
gene26776	Tmem253
gene26777	LOC690384
gene26778	Olr1638
gene26779	LOC102553296
gene26780	Hnrnpc
gene26781	Rpgrip1
gene26782	Supt16h
gene26783	LOC103693434
gene26784	Chd8
gene26785	Rab2b
gene26786	Tox4
gene26787	Mettl3
gene26788	Trnas-aga
gene26789	Sall2
gene26790	Olr1639
gene26791	LOC690444
gene26792	Olr1640
gene26793	Olr1641
gene26794	Olr1642
gene26795	LOC100363123
gene26796	Olr1643
gene26797	LOC690506
gene26798	Olr1644
gene26799	Olr1645
gene26800	LOC102554775
gene26801	LOC102555050
gene26802	LOC103690117
gene26803	LOC103693409
gene26804	LOC103693411
gene26805	LOC686863
gene26806	LOC691111
gene26807	LOC691106
gene26808	LOC691095
gene26809	LOC103693425
gene26810	LOC691091
gene26811	LOC103693427
gene26812	LOC691079
gene26813	LOC691071
gene26814	LOC691067
gene26815	RGD1564212
gene26816	LOC102554077
gene26817	LOC100362899
gene26818	Trav14s1
gene26819	LOC690805
gene26820	LOC102550120
gene26821	LOC100360871
gene26822	LOC103690386
gene26823	LOC100360925
gene26824	LOC691054
gene26825	LOC103693541
gene26826	LOC103693558
gene26827	LOC102556913
gene26828	LOC100360082
gene26829	LOC691315
gene26830	LOC685078
gene26831	LOC102556949
gene26832	LOC103693549
gene26833	RGD1560771
gene26834	LOC102547213
gene26835	LOC102547139
gene26836	LOC103693545
gene26837	LOC102556965
gene26838	LOC100362843
gene26839	LOC102556982
gene26840	LOC102546917
gene26841	LOC103693544
gene26842	LOC103693543
gene26843	LOC103693542
gene26844	Dad1
gene26845	Abhd4
gene26846	RGD1566241
gene26847	Olr1646
gene26848	LOC102550121
gene26849	Oxa1l
gene26850	Slc7a7
gene26851	Mrpl52
gene26852	Mmp14
gene26853	LOC102550180
gene26854	Lrp10
gene26855	Rem2
gene26856	Prmt5
gene26857	Trnar-acg
gene26858	Haus4
gene26859	Ajuba
gene26860	RGD1565222
gene26861	Psmb5
gene26862	Psmb11
gene26863	Cdh24
gene26864	Acin1
gene26865	RGD1308430
gene26866	RGD1560492
gene26867	Cebpe
gene26868	Slc7a8
gene26869	LOC102550789
gene26870	LOC290209
gene26871	Homez
gene26872	Ppp1r3e
gene26873	Bcl2l2
gene26874	Pabpn1
gene26875	Slc22a17
gene26876	Efs
gene26877	Il25
gene26878	Cmtm5
gene26879	Myh6
gene26880	Mir3546
gene26881	Mir208a
gene26882	Myh7
gene26883	Mir208b
gene26884	Ngdn
gene26885	LOC103693569
gene26886	Zfhx2
gene26887	Thtpa
gene26888	LOC100362547
gene26889	Jph4
gene26890	RGD1564324
gene26891	Dhrs2
gene26892	LOC100363017
gene26893	LOC691472
gene26894	LOC102551831
gene26895	RGD1565258
gene26896	Dhrs4
gene26897	Lrrc16b
gene26898	LOC102552093
gene26899	Cpne6
gene26900	Nrl
gene26901	Pck2
gene26902	Dcaf11
gene26903	LOC102552219
gene26904	Fitm1
gene26905	Psme1
gene26906	Emc9
gene26907	LOC691497
gene26908	Psme2
gene26909	Rnf31
gene26910	Irf9
gene26911	LOC103693570
gene26912	Rec8
gene26913	Ipo4
gene26914	Tm9sf1
gene26915	Tssk4
gene26916	Mdp1
gene26917	Nedd8
gene26918	Gmpr2
gene26919	Tinf2
gene26920	Tgm1
gene26921	Rabggta
gene26922	LOC691529
gene26923	Dhrs1
gene26924	Nop9
gene26925	Cideb
gene26926	Ltb4r2
gene26927	Ltb4r
gene26928	Adcy4
gene26929	Ripk3
gene26930	LOC102552386
gene26931	LOC103693601
gene26932	Nfatc4
gene26933	LOC102552484
gene26934	LOC100912447
gene26935	LOC102552602
gene26936	Cbln3
gene26937	Khnyn
gene26938	Sdr39u1
gene26939	Cma1
gene26940	LOC691558
gene26941	Mcpt4l1
gene26942	LOC103690284
gene26943	Mcpt4
gene26944	RGD1562290
gene26945	Mcpt3
gene26946	LOC103690000
gene26947	LOC100909514
gene26948	Mcpt1
gene26949	LOC100365582
gene26950	LOC691593
gene26951	Mcpt1l4
gene26952	LOC691603
gene26953	LOC498518
gene26954	Mcpt8l3
gene26955	Mcpt8
gene26956	RGD1562035
gene26957	Mcpt8l2
gene26958	Mcpt1l2
gene26959	Mcpt10
gene26960	LOC102557143
gene26961	LOC102557160
gene26962	Mcpt9
gene26963	Mcpt2
gene26964	Mcpt1l1
gene26965	LOC100912724
gene26966	Ctsg
gene26967	LOC691663
gene26968	Gzmn
gene26969	LOC691670
gene26970	Gzmf
gene26971	LOC691677
gene26972	LOC502003
gene26973	LOC103690372
gene26974	LOC691717
gene26975	Gzmbl2
gene26976	LOC681951
gene26977	Gzmbl3
gene26978	LOC100911163
gene26979	LOC691695
gene26980	RGD1562700
gene26981	LOC103690316
gene26982	LOC102553861
gene26983	LOC103690311
gene26984	LOC691720
gene26985	Gzmc
gene26986	Gzmb
gene26987	Atp12a
gene26988	Rnf17
gene26989	LOC103693600
gene26990	Cenpj
gene26991	LOC103693593
gene26992	Parp4
gene26993	Mphosph8
gene26994	Pspc1
gene26995	LOC103693594
gene26996	RGD1306353
gene26997	LOC103693602
gene26998	LOC103693596
gene26999	LOC103693603
gene27000	LOC100910840
gene27001	RGD1563527
gene27002	Zmym2
gene27003	LOC100912477
gene27004	Gja3
gene27005	Gjb2
gene27006	Gjb6
gene27007	RGD1565170
gene27008	Cryl1
gene27009	Ift88
gene27010	LOC102549908
gene27011	Il17d
gene27012	N6amt2
gene27013	Xpo4
gene27014	Lats2
gene27015	LOC691806
gene27016	LOC103693597
gene27017	Sap18
gene27018	Ska3
gene27019	Mrp63
gene27020	Zdhhc20
gene27021	Micu2
gene27022	LOC102550095
gene27023	Fgf9
gene27024	LOC102551654
gene27025	LOC102551719
gene27026	LOC691850
gene27027	RGD1559574
gene27028	LOC102551924
gene27029	RGD1563302
gene27030	Rcbtb1
gene27031	LOC691251
gene27032	Phf11b
gene27033	Setdb2
gene27034	Cab39l
gene27035	Cdadc1
gene27036	LOC103693661
gene27037	Shisa2
gene27038	LOC102552603
gene27039	LOC691889
gene27040	LOC102552768
gene27041	LOC102552699
gene27042	LOC103693635
gene27043	Nupl1
gene27044	Mtmr6
gene27045	Amer2
gene27046	LOC102553536
gene27047	LOC102556015
gene27048	LOC102553694
gene27049	Spata13
gene27050	C1qtnf9
gene27051	Mipep
gene27052	LOC102556104
gene27053	Tnfrsf19
gene27054	LOC102553894
gene27055	Sacs
gene27056	Sgcg
gene27057	LOC103693662
gene27058	Arl11
gene27059	Ebpl
gene27060	Kpna3
gene27061	LOC100911441
gene27062	LOC102547339
gene27063	Spryd7
gene27064	Trim13
gene27065	Kcnrg
gene27066	LOC102547628
gene27067	LOC102547503
gene27068	LOC102547734
gene27069	LOC102547888
gene27070	Dleu7
gene27071	Rnaseh2b
gene27072	Gucy1b2
gene27073	LOC102554746
gene27074	LOC103693641
gene27075	Fam124a
gene27076	Serpine3
gene27077	LOC100362304
gene27078	Ints6
gene27079	LOC100913077
gene27080	LOC364401
gene27081	Wdfy2
gene27082	Defb42
gene27083	LOC364402
gene27084	Defb41
gene27085	Defb43
gene27086	Defb30
gene27087	LOC103693642
gene27088	Defb44
gene27089	Ctsb
gene27090	Fdft1
gene27091	Neil2
gene27092	Gata4
gene27093	LOC102548615
gene27094	Blk
gene27095	LOC103693643
gene27096	Fam167a
gene27097	Tdh
gene27098	Mtmr9
gene27099	LOC102548944
gene27100	Mir598
gene27101	Xkr6
gene27102	LOC103693644
gene27103	LOC102553493
gene27104	Pinx1
gene27105	LOC103693645
gene27106	LOC102549097
gene27107	Sox7
gene27108	RGD1565212
gene27109	LOC683404
gene27110	Prss55
gene27111	LOC100910401
gene27112	LOC102553895
gene27113	LOC683422
gene27114	Msra
gene27115	LOC102554489
gene27116	LOC102554677
gene27117	Mir124-1
gene27118	Kif13b
gene27119	Hmbox1
gene27120	LOC103693650
gene27121	LOC103693649
gene27122	LOC102549712
gene27123	Extl3
gene27124	Fzd3
gene27125	Fbxo16
gene27126	Zfp395
gene27127	Pnoc
gene27128	LOC100362548
gene27129	Anxa2-ps1
gene27130	Rps17l
gene27131	Nuggc
gene27132	Scara5
gene27133	LOC102557005
gene27134	Pbk
gene27135	Esco2
gene27136	Ccdc25
gene27137	LOC102557042
gene27138	Scara3
gene27139	Clu
gene27140	LOC102556378
gene27141	Gulo
gene27142	LOC102555773
gene27143	Adam2
gene27144	Ephx2
gene27145	Chrna2
gene27146	Ptk2b
gene27147	Mir6320
gene27148	Trim35
gene27149	Stmn4
gene27150	Trnap-agg
gene27151	Adra1a
gene27152	Dpysl2
gene27153	Pnma2
gene27154	Bnip3l
gene27155	Ppp2r2a
gene27156	LOC103693652
gene27157	LOC691986
gene27158	Ebf2
gene27159	LOC103693663
gene27160	RGD1566135
gene27161	Cdca2
gene27162	Kctd9
gene27163	Gnrh1
gene27164	LOC103693653
gene27165	Dock5
gene27166	LOC364411
gene27167	Nefl
gene27168	LOC100359567
gene27169	Nefm
gene27170	LOC103693658
gene27171	LOC102554953
gene27172	Adam7
gene27173	Adamdec1
gene27174	LOC102550654
gene27175	LOC691988
gene27176	LOC102550885
gene27177	LOC103693664
gene27178	LOC100359732
gene27179	LOC100911335
gene27180	LOC689886
gene27181	LOC364414
gene27182	LOC364415
gene27183	Adam28
gene27184	LOC102557276
gene27185	Stc1
gene27186	LOC364417
gene27187	Nkx2-6
gene27188	Nkx3-1
gene27189	Slc25a37
gene27190	Ervfrd-1
gene27191	LOC367277
gene27192	LOC103693687
gene27193	LOC103693686
gene27194	Entpd4
gene27195	Loxl2
gene27196	R3hcc1
gene27197	Chmp7
gene27198	LOC103693694
gene27199	Tnfrsf10b
gene27200	Rhobtb2
gene27201	LOC103693695
gene27202	LOC102550955
gene27203	Pebp4
gene27204	LOC102551019
gene27205	Pebp4
gene27206	Egr3
gene27207	Bin3
gene27208	Ccar2
gene27209	RGD1308117
gene27210	Pdlim2
gene27211	Sorbs3
gene27212	LOC103693697
gene27213	Ppp3cc
gene27214	LOC103693698
gene27215	LOC103693807
gene27216	Slc39a14
gene27217	Piwil2
gene27218	LOC691713
gene27219	Polr3d
gene27220	Mir320a
gene27221	Phyhip
gene27222	Bmp1
gene27223	Sftpc
gene27224	Lgi3
gene27225	Reep4
gene27226	Hr
gene27227	Nudt18
gene27228	Fam160b2
gene27229	Dmtn
gene27230	Fgf17
gene27231	Npm2
gene27232	Xpo7
gene27233	Dok2
gene27234	Gfra2
gene27235	LOC100359986
gene27236	Dpm3-ps1
gene27237	LOC103693702
gene27238	LOC103693703
gene27239	LOC103693704
gene27240	LOC102552533
gene27241	LOC100910693
gene27242	LOC103693705
gene27243	LOC102554416
gene27244	LOC103693706
gene27245	LOC102554611
gene27246	LOC103693809
gene27247	LOC103693810
gene27248	Fndc3a
gene27249	LOC103693707
gene27250	LOC103693710
gene27251	LOC103693708
gene27252	LOC102555164
gene27253	LOC306026
gene27254	Cysltr2
gene27255	LOC684557
gene27256	LOC103693715
gene27257	Rcbtb2
gene27258	Rb1
gene27259	Lpar6
gene27260	Itm2b
gene27261	LOC100360157
gene27262	LOC103693716
gene27263	Med4
gene27264	Nudt15
gene27265	Trnae-uuc
gene27266	Sucla2
gene27267	LOC102547539
gene27268	LOC102546539
gene27269	Htr2a
gene27270	Esd
gene27271	Lrch1
gene27272	RGD1304929
gene27273	LOC102557403
gene27274	Lrrc63
gene27275	Esco2-ps2
gene27276	Lcp1
gene27277	Cpb2
gene27278	LOC691812
gene27279	Zc3h13
gene27280	Siah3
gene27281	Spert
gene27282	LOC100911795
gene27283	LOC692005
gene27284	Cog3
gene27285	Slc25a30
gene27286	Tpt1
gene27287	LOC102549099
gene27288	Gtf2f2
gene27289	Kctd4
gene27290	LOC103690313
gene27291	LOC103693717
gene27292	Gpalpp1
gene27293	Nufip1
gene27294	LOC103693718
gene27295	Trnae-uuc
gene27296	Tsc22d1
gene27297	Serp2
gene27298	LOC102556319
gene27299	LOC103693719
gene27300	LOC103693720
gene27301	Smim2
gene27302	LOC102546462
gene27303	Ccdc122
gene27304	Lacc1
gene27305	LOC103693721
gene27306	LOC103693726
gene27307	LOC102547243
gene27308	Enox1
gene27309	Dnajc15
gene27310	Epsti1
gene27311	Fam216b
gene27312	LOC103693730
gene27313	Tnfsf11
gene27314	LOC102549816
gene27315	LOC692012
gene27316	Akap11
gene27317	LOC102549880
gene27318	Dgkh
gene27319	Vwa8
gene27320	LOC103693737
gene27321	LOC102550531
gene27322	LOC102550723
gene27323	Rgcc
gene27324	LOC100909790
gene27325	Naa16
gene27326	Mtrf1
gene27327	LOC100912730
gene27328	LOC686244
gene27329	LOC100909895
gene27330	Kbtbd6
gene27331	Wbp4
gene27332	Trnae-uuc
gene27333	LOC102552221
gene27334	Elf1
gene27335	LOC100360244
gene27336	Sugt1
gene27337	Lect1
gene27338	Mir759
gene27339	Pcdh8
gene27340	LOC102553037
gene27341	Olfm4
gene27342	LOC102553139
gene27343	LOC102553204
gene27344	LOC306079
gene27345	LOC692015
gene27346	LOC692016
gene27347	LOC100361180
gene27348	LOC102554138
gene27349	Calm-ps2
gene27350	LOC103693740
gene27351	LOC100361279
gene27352	Pcdh17
gene27353	LOC103693741
gene27354	LOC103693744
gene27355	LOC103693745
gene27356	Diaph3
gene27357	LOC100361402
gene27358	Tdrd3
gene27359	LOC103693746
gene27360	LOC103693747
gene27361	LOC100910766
gene27362	LOC290412
gene27363	Pcdh20
gene27364	LOC103693748
gene27365	LOC100361447
gene27366	LOC692021
gene27367	LOC102547864
gene27368	LOC102546958
gene27369	LOC102546653
gene27370	LOC100361683
gene27371	LOC502026
gene27372	LOC498555
gene27373	Pcdh9
gene27374	LOC502027
gene27375	LOC692026
gene27376	LOC692027
gene27377	LOC103693758
gene27378	RGD1306441
gene27379	LOC102547865
gene27380	LOC100360685
gene27381	LOC102547962
gene27382	Klhl1
gene27383	LOC100360731
gene27384	LOC290428
gene27385	LOC692028
gene27386	RGD1559682
gene27387	RGD1559579
gene27388	Setl1
gene27389	LOC103693761
gene27390	Dach1
gene27391	LOC102551215
gene27392	LOC103693762
gene27393	LOC103693763
gene27394	LOC103693764
gene27395	RGD1560069
gene27396	LOC364451
gene27397	LOC692030
gene27398	LOC102548429
gene27399	Bora
gene27400	Dis3
gene27401	LOC100361028
gene27402	Pibf1
gene27403	Klf5
gene27404	LOC100364453
gene27405	LOC102553927
gene27406	LOC364454
gene27407	Klf12
gene27408	LOC103693766
gene27409	LOC102555054
gene27410	LOC692033
gene27411	RGD1560797
gene27412	LOC100362677
gene27413	LOC102555382
gene27414	Tbc1d4
gene27415	RGD2320734
gene27416	Commd6
gene27417	Uchl3
gene27418	LOC100362823
gene27419	Lmo7
gene27420	LOC692034
gene27421	LOC290444
gene27422	RGD1562819
gene27423	LOC102556284
gene27424	LOC102546300
gene27425	LOC102546379
gene27426	Kctd12
gene27427	Irg1
gene27428	Cln5
gene27429	Fbxl3
gene27430	Mycbp2
gene27431	LOC102550034
gene27432	LOC100909907
gene27433	Scel
gene27434	LOC103693839
gene27435	Slain1
gene27436	Ednrb
gene27437	LOC102550182
gene27438	LOC102550315
gene27439	Pou4f1
gene27440	Rnf219
gene27441	LOC692037
gene27442	LOC102550655
gene27443	LOC102550758
gene27444	LOC290453
gene27445	Rbm26
gene27446	LOC692038
gene27447	RGD1565438
gene27448	Ndfip2
gene27449	LOC100364974
gene27450	LOC100910379
gene27451	LOC692041
gene27452	LOC102549194
gene27453	LOC100363223
gene27454	Spry2
gene27455	LOC103693771
gene27456	Trim52
gene27457	LOC364462
gene27458	LOC102553620
gene27459	LOC100363369
gene27460	LOC100363428
gene27461	LOC103693842
gene27462	LOC102554519
gene27463	LOC102554612
gene27464	Slitrk1
gene27465	LOC100359444
gene27466	LOC100361753
gene27467	LOC103693772
gene27468	LOC100359553
gene27469	Slitrk6
gene27470	LOC100912914
gene27471	LOC100361805
gene27472	LOC102556074
gene27473	LOC692045
gene27474	LOC102556132
gene27475	LOC103693843
gene27476	LOC102556470
gene27477	LOC102556356
gene27478	RGD1559833
gene27479	LOC103693773
gene27480	Slitrk5
gene27481	LOC102546988
gene27482	LOC692047
gene27483	LOC102556751
gene27484	Vom1r-ps104
gene27485	LOC102550064
gene27486	LOC102550250
gene27487	LOC103693775
gene27488	LOC692048
gene27489	LOC102547440
gene27490	LOC103690225
gene27491	LOC100359970
gene27492	LOC102547891
gene27493	LOC692049
gene27494	Mir17-1
gene27495	Mir18a
gene27496	Mir19a
gene27497	Mir20a
gene27498	Mir19b1
gene27499	Mir92a1
gene27500	LOC102548462
gene27501	Gpc5
gene27502	LOC102548369
gene27503	LOC100912132
gene27504	LOC691984
gene27505	LOC103693785
gene27506	LOC103693784
gene27507	LOC103693783
gene27508	LOC103693782
gene27509	LOC102548523
gene27510	LOC103693781
gene27511	Dct
gene27512	LOC102548872
gene27513	LOC102548945
gene27514	Trnaf-gaa
gene27515	Tgds
gene27516	Gpr180
gene27517	Sox21
gene27518	LOC102549101
gene27519	LOC103693790
gene27520	Abcc4
gene27521	Cldn10
gene27522	Dzip1
gene27523	LOC102554323
gene27524	LOC102555347
gene27525	Dnajc3
gene27526	LOC102554923
gene27527	Uggt2
gene27528	Hs6st3
gene27529	LOC102546571
gene27530	LOC102556639
gene27531	LOC290492
gene27532	LOC680256
gene27533	Oxgr1
gene27534	LOC102547244
gene27535	LOC102551086
gene27536	Mbnl2
gene27537	LOC103693801
gene27538	Rap2a
gene27539	LOC103693802
gene27540	Ipo5
gene27541	LOC100363190
gene27542	LOC100909886
gene27543	Farp1
gene27544	Stk24
gene27545	Slc15a1
gene27546	LOC103693803
gene27547	Dock9
gene27548	LOC103693804
gene27549	Ubac2
gene27550	Gpr18
gene27551	LOC102554679
gene27552	Gpr183
gene27553	Timm8a2
gene27554	LOC103693805
gene27555	Tm9sf2
gene27556	LOC102555281
gene27557	LOC102555195
gene27558	Clybl
gene27559	LOC102555437
gene27560	Zic5
gene27561	Zic2
gene27562	LOC680926
gene27563	LOC364485
gene27564	Pcca
gene27565	LOC103693806
gene27566	Ggact
gene27567	Tmtc4
gene27568	Nalcn
gene27569	Itgbl1
gene27570	Fgf14
gene27571	LOC102547217
gene27572	LOC102547141
gene27573	Olr1647-ps
gene27574	LOC290503
gene27575	Polr3a
gene27576	Rps24
gene27577	LOC102551347
gene27578	LOC102551656
gene27579	LOC100363675
gene27580	LOC103693858
gene27581	LOC102552347
gene27582	LOC103693859
gene27583	LOC103693860
gene27584	LOC103693861
gene27585	LOC102553231
gene27586	Zmiz1
gene27587	LOC102553140
gene27588	Mir3075
gene27589	LOC102557489
gene27590	Ppif
gene27591	Zcchc24
gene27592	LOC102553299
gene27593	LOC103693862
gene27594	RGD1565017
gene27595	Anxa11
gene27596	Plac9
gene27597	Fam213a
gene27598	Cphx
gene27599	Duxbl1
gene27600	LOC100911661
gene27601	Slmap
gene27602	Dennd6a
gene27603	Arf4
gene27604	Pde12
gene27605	Dnah12
gene27606	LOC102547798
gene27607	Asb14
gene27608	Appl1
gene27609	LOC103693871
gene27610	Hesx1
gene27611	Il17rd
gene27612	LOC102548056
gene27613	Arhgef3
gene27614	Fam208a
gene27615	Ccdc66
gene27616	LOC102548123
gene27617	LOC102553896
gene27618	Erc2
gene27619	LOC102553494
gene27620	LOC103693877
gene27621	LOC103693874
gene27622	LOC103693876
gene27623	Wnt5a
gene27624	LOC100360083
gene27625	RGD1565329
gene27626	RGD1565573
gene27627	Grid1
gene27628	Mir346
gene27629	Rpl38-ps3
gene27630	LOC498588
gene27631	Isca1-ps1
gene27632	Wapal
gene27633	LOC100360810
gene27634	Opn4
gene27635	Ldb3
gene27636	Bmpr1a
gene27637	LOC100912503
gene27638	Mmrn2
gene27639	Sncg
gene27640	Fam25a
gene27641	Glud1
gene27642	Fam35a
gene27643	LOC102551861
gene27644	Syt15
gene27645	Gprin2
gene27646	Npy4r
gene27647	Anxa8
gene27648	Antxrl
gene27649	LOC100910026
gene27650	Zfp488
gene27651	Rbp3
gene27652	Gdf2
gene27653	Gdf10
gene27654	LOC102550656
gene27655	Ptpn20b
gene27656	Frmpd2
gene27657	LOC103693931
gene27658	Mapk8
gene27659	Arhgap22
gene27660	Wdfy4
gene27661	Lrrc18
gene27662	Vstm4
gene27663	Fam170b
gene27664	RGD1561145
gene27665	LOC103693902
gene27666	LOC103693903
gene27667	RGD1564899
gene27668	LOC102547142
gene27669	Drgx
gene27670	Ercc6
gene27671	LOC498577
gene27672	Chat
gene27673	Slc18a3
gene27674	LOC680885
gene27675	Ogdhl
gene27676	LOC102550503
gene27677	Parg
gene27678	LOC103693900
gene27679	Timm23
gene27680	Ncoa4
gene27681	Msmb
gene27682	Oxnad1
gene27683	Dph3
gene27684	Galnt15
gene27685	LOC102550145
gene27686	LOC102550037
gene27687	Ankrd28
gene27688	LOC103693898
gene27689	LOC102549784
gene27690	Btd
gene27691	Hacl1
gene27692	Colq
gene27693	Eaf1
gene27694	Mettl6
gene27695	Sh3bp5
gene27696	Capn7
gene27697	LOC680729
gene27698	RGD1564325
gene27699	Dnah1
gene27700	Bap1
gene27701	Phf7
gene27702	Sema3g
gene27703	Tnnc1
gene27704	Nisch
gene27705	LOC103693958
gene27706	Stab1
gene27707	Nt5dc2
gene27708	Smim4
gene27709	Pbrm1
gene27710	Gnl3
gene27711	Glt8d1
gene27712	Spcs1
gene27713	Nek4
gene27714	Itih1
gene27715	Itih3
gene27716	LOC102555675
gene27717	Itih4
gene27718	Mustn1
gene27719	Tmem110
gene27720	LOC102555619
gene27721	Sfmbt1
gene27722	LOC102548616
gene27723	LOC103693948
gene27724	Rft1
gene27725	LOC102555556
gene27726	Prkcd
gene27727	Tkt
gene27728	LOC102555502
gene27729	Dcp1a
gene27730	LOC103693893
gene27731	Cacna1d
gene27732	LOC103693892
gene27733	Chdh
gene27734	Il17rb
gene27735	Actr8
gene27736	Selk
gene27737	LOC100360125
gene27738	LOC103693956
gene27739	LOC364506
gene27740	Cacna2d3
gene27741	LOC103693957
gene27742	LOC103693891
gene27743	LOC102547963
gene27744	RGD1563346
gene27745	LOC100911283
gene27746	RGD1560429
gene27747	RGD1562508
gene27748	RGD1564225
gene27749	LOC102552466
gene27750	LOC685463
gene27751	LOC364518
gene27752	LOC100362043
gene27753	RGD1563356
gene27754	Nono-ps1
gene27755	RGD1562641
gene27756	LOC685564
gene27757	LOC502061
gene27758	RGD1566067
gene27759	RGD1559804
gene27760	LOC103693906
gene27761	LOC100912197
gene27762	LOC685718
gene27763	LOC103693907
gene27764	Ccser2
gene27765	Rgr
gene27766	Lrit1
gene27767	Lrit2
gene27768	Cdhr1
gene27769	LOC103693908
gene27770	LOC290595
gene27771	LOC103693909
gene27772	Ghitm
gene27773	LOC100363043
gene27774	LOC685813
gene27775	RGD1565661
gene27776	LOC100362608
gene27777	LOC683469
gene27778	LOC103693910
gene27779	LOC102555898
gene27780	LOC100913033
gene27781	Nrg3
gene27782	RGD1564958
gene27783	LOC364524
gene27784	LOC102546465
gene27785	LOC102556133
gene27786	LOC103694094
gene27787	LOC502064
gene27788	LOC683605
gene27789	LOC686073
gene27790	LOC364527
gene27791	LOC103693912
gene27792	LOC102546921
gene27793	LOC364528
gene27794	Sh2d4b
gene27795	Tspan14
gene27796	RGD1309676
gene27797	LOC103693911
gene27798	Dydc2
gene27799	Dydc1
gene27800	Mat1a
gene27801	Sftpa1
gene27802	LOC683746
gene27803	LOC688468
gene27804	Mbl1
gene27805	Sftpd
gene27806	LOC102548312
gene27807	LOC103693932
gene27808	LOC100364316
gene27809	F2rl3
gene27810	Sin3b
gene27811	Nwd1
gene27812	LOC103694095
gene27813	Tmem38a
gene27814	Smim7
gene27815	Med26
gene27816	Slc35e1
gene27817	LOC103693914
gene27818	Cherp
gene27819	RGD1311847
gene27820	Calr3
gene27821	Eps15l1
gene27822	Klf2
gene27823	Ap1m1
gene27824	Fam32a
gene27825	Cib3
gene27826	Hsh2d
gene27827	Rab8a
gene27828	Tpm4
gene27829	Olr1648-ps
gene27830	Cyp4f18
gene27831	Zfp617
gene27832	LOC102548752
gene27833	LOC102555198
gene27834	LOC102548917
gene27835	Zfp709
gene27836	Haus8
gene27837	Myo9b
gene27838	LOC103693915
gene27839	Use1
gene27840	Ocel1
gene27841	Nr2f6
gene27842	Ushbp1
gene27843	Babam1
gene27844	Ankle1
gene27845	RGD1565495
gene27846	Abhd8
gene27847	Mrpl34
gene27848	LOC103693916
gene27849	Dda1
gene27850	Ano8
gene27851	Gtpbp3
gene27852	Plvap
gene27853	Bst2
gene27854	Mvb12a
gene27855	Tmem221
gene27856	LOC103690403
gene27857	Nxnl1
gene27858	Slc27a1
gene27859	Pgls
gene27860	Fam129c
gene27861	Colgalt1
gene27862	Unc13a
gene27863	Jak3
gene27864	Insl3
gene27865	B3gnt3
gene27866	Fcho1
gene27867	Map1s
gene27868	Rpl18a
gene27869	Slc5a5
gene27870	Ccdc124
gene27871	Kcnn1
gene27872	Arrdc2
gene27873	Il12rb1
gene27874	Mast3
gene27875	Pik3r2
gene27876	Ifi30
gene27877	Mpv17l2
gene27878	Rab3a
gene27879	Pde4c
gene27880	LOC100360908
gene27881	LOC102547294
gene27882	Jund
gene27883	Lsm4
